genres,id_spotify,artist,name,cover_art,isrc,preview_url,download_url
country,4VBBt9BunbxZEcsm301Y9s,Randy Travis,On The Other Hand,https://i.scdn.co/image/ab67616d0000b2732630ff189b8ee80c1148c638,USWB11002050,https://p.scdn.co/mp3-preview/bc4e1d235d5735328b88d067db46c7a34533e384?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,10RQKVSr4rS0coExTmi4dF,Carrie Underwood,Something in the Water,https://i.scdn.co/image/ab67616d0000b2739ea5deacdf2b7999500d3f9a,GBCTA1400010,https://p.scdn.co/mp3-preview/38f04c435581339f827abfc6513f99eb37aea923?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,06RuzxlTEP9fJFOOeA5x3B,Kenny Chesney,The Boys of Fall,https://i.scdn.co/image/ab67616d0000b2732d25e589833793c4a560842e,USBN10900032,https://cdns-preview-6.dzcdn.net/stream/c-6e9d60e6c026b904d5b9ebbd93536ec2-6.mp3,
country,0N9G70lFcjrzNJdcoijoBe,Johnny Cash,For the Good Times,https://i.scdn.co/image/ab67616d0000b27330d83dc6c3072afd859da001,USUM70923948,https://cdns-preview-1.dzcdn.net/stream/c-1809a1fe99521add26a87c511f2ed907-9.mp3,
country,02qR0Dbi6JawnhEHD3UxHq,Brooks & Dunn,Believe,https://i.scdn.co/image/ab67616d0000b273941001e5ce6bc1272466de29,USAN20900086,https://p.scdn.co/mp3-preview/bbe1de2def0bbc70a65108f97c5d2af569964f08?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,0U7Q336Pth6J3mPy736fQq,Dierks Bentley,Feel That Fire,https://i.scdn.co/image/ab67616d0000b2736e9beb2212202f5acabc842b,USCN10802176,https://p.scdn.co/mp3-preview/d845f56c5e0b0d01c515ce3304cefbd8ab5ea403?cid=0f3710c5e6654c7983ad32e438f68f9d,
"rock,country",01px8w4S19ws8XRTdKz2Hg,Elvis Presley,Blue Moon of Kentucky,https://i.scdn.co/image/ab67616d0000b27396b6279ab669d786748328c1,NLG620447075,https://cdns-preview-d.dzcdn.net/stream/c-d234bd9cedea71b2dbcb463e03269c43-0.mp3,
"rock,pop,rap,country",7eLvoCcWeZ4PuTGe5fL2Rq,NORA&LEO,The Sign,https://i.scdn.co/image/ab67616d0000b2736c5fb8e16dedfa17941361da,CH6540813007,https://p.scdn.co/mp3-preview/ba78a765b813ccf110718573514c8cdc14833f58?cid=0f3710c5e6654c7983ad32e438f68f9d,
"rock,country",3yQyGskGTtXB8CcupYiYuS,James Taylor,Blossom,https://i.scdn.co/image/ab67616d0000b2731f8c1a0ed8c404c469680cc0,USWB19901488,https://cdns-preview-b.dzcdn.net/stream/c-b66a84add76b60eabeb9dcfaeaafad51-7.mp3,
country,41R2wSdC5mQ0Si9xiydzG8,Josh Thompson,Always Been Me,https://i.scdn.co/image/ab67616d0000b2735353598e5a2c96e6045c1e78,USG4X0900090,https://p.scdn.co/mp3-preview/343bae1a9da9e548ec4343d1971b6954fb634239?cid=0f3710c5e6654c7983ad32e438f68f9d,
